name,price
CLASSIC CONSOLE - 20 Games Preloaded,₦38000
FIFA 19 - Standard - PlayStation 4,₦50000
PS4 500GB + FIFA 19 Bundle - Jet Black,₦13650
PS4 Slim Console 500GB - Jet Black,₦16900
PS4 Pro 1TB 4K Console ,₦13650
PS4 FIFA 19 (Standard Edition),₦120500
$25 Google Play Gift Card,₦150000
PS4 Controller Pad - Dualshock 4 Wireless Controller - Army,₦120500
Video Game Console 8GB Free 2000 Games 4.3 Inch MP5 - Black,₦110990
Pro Evolution Soccer (PES) 2019 - PlayStation 4,₦124990
PS4 500GB With FIFA 19 Bundle Latest Edition,₦110990
PS3 Slim Console 320GB Plus 2 Controllers & 21 Latest Games Including FIFA 2019 & FIFA 2018 + PES 2018 Downloaded Inside,₦164990
PlayStation 4 Console Slim 500GB + Fifa 19 Game,₦190000
PS2 Slim Console - Latest Edition- Plus Extra Controller And 14 Downloaded Games,₦14000
FIFA 19 - PlayStation 4,₦14000
PS4 Call Of Duty : Infinite Warfare,₦14300
 PS4 Grand Theft Auto - GTA V,₦25000
WWE 2K19 PS4 Game,₦10990
FIFA 19 Standard Edition - PlayStation 4,₦13900
God Of War - Playstation 4,₦10990
PS4 Controller - Sony Official Pad With Warranty + Gaming Headset - 2019 Edition With Touchpad Lightbar -Blue,₦12300
Dual Wireless Charger For PS4 Controller,₦30000
Kids Children Handheld Game Console Portable Video Tetris For PSP Gaming-Black,₦10750
$25 ITunes Gift Cards - USA,₦25000
God Of War - PS4 ,₦10750
$100 USA ITunes Gift Card,₦120900
Xbox 360 Controller - Microsoft Xbox 360 Pad For PC & Official Xbox 360 Console - Black,₦160000
$50 Apple ITunes Gift Cards - USA,₦54000
Miracast Wifi Display TV Dongle Wireless Receiver 1080P HD AirPlay DLNA Share Wireless Wi-Fi Display Dongle Receiver,₦75000
PS VITA SLIM - WIFI - Includes 32Gb Memory Card Plus 20 Latest Games Installed- Black,₦120990
FIFA 19 - PlayStation 4,₦180000
PS2 Slim Console - Latest Edition- Plus Extra Controller And 14 Downloaded Games,₦120990
Play Station 3 Slim (320GB) Console With (20 Games) With Extra Pad Controller,₦26500
PS3 Wireless Pad,₦30900
PS4 Controller Charger Dual USB Station Controller Charger,₦26500
PS4 FIFA 19 (Standard Edition),₦13999
PuBg Controller,₦20000
PS4 500GB FIFA 19 Bundle + 2 Pad,₦13999
500GB SUPERSLIM PS3 CONSOLE WITH 2PAD AND 20BONUS GAMES INCLUDING FIFA 19 WITH PES 2018,₦4499
Call Of Duty: Infinite Warfare Legacy Edition - PlayStation 4,₦6999
